,Vehicle ID,ZIP Code,VIN Prefix,Vehicle Name,Technology
0,WA-044-10032256,98116,1G1FZ6S0,Chevrolet Bolt EV,BEV
1,WA-044-118565170,98040,1N4AZ0CP,Nissan Leaf,BEV
2,WA-044-176510946,98801,5YJYGDEE,Tesla Model Y,BEV
3,WA-044-172434328,98021,5YJ3E1EA,Tesla Model 3,BEV
4,WA-044-172658237,98056,5YJYGDEE,Tesla Model Y,BEV
5,WA-044-475013360,98118,KNDCC3LD,Kia Niro Plug In,PHEV
6,WA-044-478029058,98012,1G1FW6S0,Chevrolet Bolt EV,BEV
7,WA-044-144355760,98119,WA1E2AFY,Audi Q5 Plug In,PHEV
8,WA-044-177445110,98422,1G1RB6E4,Chevrolet Volt,PHEV
9,WA-044-128697971,98106,5YJ3E1EA,Tesla Model 3,BEV
10,WA-044-3539070,98312,WBY2Z2C5,BMW i8,PHEV
11,WA-044-120042268,98118,JTDKN3DP,Toyota Prius Plug-in,PHEV
12,WA-044-101446992,98383,1G1RC6S5,Chevrolet Volt,PHEV
13,WA-044-172449112,98115,5YJ3E1EB,Tesla Model 3,BEV
14,WA-044-130901662,98124,JN1AZ0CP,Nissan Leaf,BEV
15,WA-044-133843174,98236,5YJYGDEE,Tesla Model Y,BEV
16,WA-044-132996517,98199,5YJXCDE2,Tesla Model X,BEV
17,WA-044-167259424,98115,5YJ3E1EB,Tesla Model 3,BEV
18,WA-044-220594076,98136,1G1RA6S5,Chevrolet Volt,PHEV
19,WA-044-109826440,98122,WAUTPBFF,Audi A3 Plug In,PHEV
20,WA-044-152601088,98199,5YJ3E1EA,Tesla Model 3,BEV
21,WA-044-114486137,98122,WBY1Z8C3,BMW i3 REx,PHEV
22,WA-044-176748659,98274,1G1FW6S0,Chevrolet Bolt EV,BEV
23,WA-044-104527944,98407,WA1E2AFY,Audi Q5 Plug In,PHEV
24,WA-044-119893392,98199,WBY1Z4C5,BMW i3 REx,PHEV
25,WA-044-112433198,98225,5YJYGDEE,Tesla Model Y,BEV
26,WA-044-128683159,99203,5YJSA1E2,Tesla Model S,BEV
27,WA-044-156810678,98101,4JGDA6DB,Mercedes GLE55e,PHEV
28,WA-044-179420412,98516,1N4AZ0CP,Nissan Leaf,BEV
