Vehicle ID,ZIP Code,Registration Valid Date,VIN Prefix,VIN Model Year,DMV ID,DMV ID Complete,DMV Snapshot,Registration Expiration Date,State Abbreviation,Geography,Vehicle Name,Technology
WA-044-10032256,98116,20/12/2021,1G1FZ6S0,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-118565170,98040,20/12/2021,1N4AZ0CP,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-176510946,98801,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-172434328,98021,20/12/2021,5YJ3E1EA,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-172658237,98056,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-475013360,98118,20/12/2021,KNDCC3LD,J,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Kia Niro Plug In,PHEV
WA-044-478029058,98012,20/12/2021,1G1FW6S0,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Bolt EV,BEV
WA-044-144355760,98119,20/12/2021,WA1E2AFY,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Audi Q5 Plug In,PHEV
WA-044-177445110,98422,20/12/2021,1G1RB6E4,D,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-128697971,98106,20/12/2021,5YJ3E1EA,L,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-3539070,98312,20/12/2021,WBY2Z2C5,F,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,BMW i8,PHEV
WA-044-120042268,98118,20/12/2021,JTDKN3DP,E,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Toyota Prius Plug-in,PHEV
WA-044-101446992,98383,20/12/2021,1G1RC6S5,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Chevrolet Volt,PHEV
WA-044-172449112,98115,20/12/2021,5YJ3E1EB,K,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model 3,BEV
WA-044-130901662,98124,20/12/2021,JN1AZ0CP,B,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Nissan Leaf,BEV
WA-044-133843174,98236,20/12/2021,5YJYGDEE,M,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model Y,BEV
WA-044-132996517,98199,20/12/2021,5YJXCDE2,H,44,WA44,WA DMV Direct (12/20/2021),NULL,WA,ZIP Code,Tesla Model X,BEV
